,rel-pbesol & US_LOW,rel-pbesol & PAW_LOW,rel-pbesol & PAW_HIGH,rel-pbesol & US_HIGH,rel-pbesol & NC,rel-bp & US_LOW,rel-bp & PAW_LOW,rel-bp & PAW_HIGH,rel-bp & US_HIGH,rel-bp & NC,rel-pz & US_LOW,rel-pz & PAW_LOW,rel-pz & PAW_HIGH,rel-pz & US_HIGH,rel-pz & NC,revpbe & US_LOW,revpbe & PAW_LOW,revpbe & PAW_HIGH,revpbe & US_HIGH,revpbe & NC,rel-revpbe & US_LOW,rel-revpbe & PAW_LOW,rel-revpbe & PAW_HIGH,rel-revpbe & US_HIGH,rel-revpbe & NC,pbe & US_LOW,pbe & PAW_LOW,pbe & PAW_HIGH,pbe & US_HIGH,pbe & NC,bp & US_LOW,bp & PAW_LOW,bp & PAW_HIGH,bp & US_HIGH,bp & NC,wc & US_LOW,wc & PAW_LOW,wc & PAW_HIGH,wc & US_HIGH,wc & NC,rel-pw91 & US_LOW,rel-pw91 & PAW_LOW,rel-pw91 & PAW_HIGH,rel-pw91 & US_HIGH,rel-pw91 & NC,rel-pbe & US_LOW,rel-pbe & PAW_LOW,rel-pbe & PAW_HIGH,rel-pbe & US_HIGH,rel-pbe & NC,pz & US_LOW,pz & PAW_LOW,pz & PAW_HIGH,pz & US_HIGH,pz & NC,rel-wc & US_LOW,rel-wc & PAW_LOW,rel-wc & PAW_HIGH,rel-wc & US_HIGH,rel-wc & NC,pbesol & US_LOW,pbesol & PAW_LOW,pbesol & PAW_HIGH,pbesol & US_HIGH,pbesol & NC,pw91 & US_LOW,pw91 & PAW_LOW,pw91 & PAW_HIGH,pw91 & US_HIGH,pw91 & NC
H,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
He,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Li,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Be,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
B,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
C,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
N,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
O,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
F,无,无,有,有,有,无,无,无,无,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,无,无,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Ne,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Na,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Mg,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Al,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Si,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
P,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
S,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Cl,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
Ar,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,无,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
K,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
Ca,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有,无,无,有,有,有
